Run,Sigma,Rho,Adapt_Start,Adapt_stop,Length_run,Seed,ID
7,0.6,0.1,5000,50000,1000000,10,502
8,0.7,0.1,5000,50000,1000000,10,503
9,0.8,0.1,5000,50000,1000000,10,504
10,0.9,0.1,5000,50000,1000000,10,505
11,0.99,0.1,5000,50000,1000000,10,506
12,0.01,0.05,5000,50000,1000000,10,507
13,0.1,0.05,5000,50000,1000000,10,508
14,0.2,0.05,5000,50000,1000000,10,509
15,0.3,0.05,5000,50000,1000000,10,510
16,0.4,0.05,5000,50000,1000000,10,511
17,0.5,0.05,5000,50000,1000000,10,512
18,0.6,0.05,5000,50000,1000000,10,513
19,0.7,0.05,5000,50000,1000000,10,514
20,0.8,0.05,5000,50000,1000000,10,515
21,0.9,0.05,5000,50000,1000000,10,516
22,0.99,0.05,5000,50000,1000000,10,517
23,0.01,0.5,5000,50000,1000000,10,518
24,0.1,0.5,5000,50000,1000000,10,519
25,0.2,0.5,5000,50000,1000000,10,520
26,0.3,0.5,5000,50000,1000000,10,521
27,0.4,0.5,5000,50000,1000000,10,522
28,0.5,0.5,5000,50000,1000000,10,523
29,0.6,0.5,5000,50000,1000000,10,524
30,0.7,0.5,5000,50000,1000000,10,525
31,0.8,0.5,5000,50000,1000000,10,526
32,0.9,0.5,5000,50000,1000000,10,527
33,0.99,0.5,5000,50000,1000000,10,528
34,0.01,0.2,5000,50000,1000000,10,529
35,0.1,0.2,5000,50000,1000000,10,530
36,0.2,0.2,5000,50000,1000000,10,531
37,0.3,0.2,5000,50000,1000000,10,532
38,0.4,0.2,5000,50000,1000000,10,533
39,0.5,0.2,5000,50000,1000000,10,534
40,0.6,0.2,5000,50000,1000000,10,535
41,0.7,0.2,5000,50000,1000000,10,536
42,0.8,0.2,5000,50000,1000000,10,537
43,0.9,0.2,5000,50000,1000000,10,538
44,0.99,0.2,5000,50000,1000000,10,539
45,0.01,0.025,5000,50000,1000000,10,540
46,0.1,0.025,5000,50000,1000000,10,541
47,0.2,0.025,5000,50000,1000000,10,542
48,0.3,0.025,5000,50000,1000000,10,543
49,0.4,0.025,5000,50000,1000000,10,544
50,0.5,0.025,5000,50000,1000000,10,545
51,0.6,0.025,5000,50000,1000000,10,546
52,0.7,0.025,5000,50000,1000000,10,547
53,0.8,0.025,5000,50000,1000000,10,548
54,0.9,0.025,5000,50000,1000000,10,549
55,0.99,0.025,5000,50000,1000000,10,550
